region,product_line,revenue
North,Hardware,44461.13
North,Hardware,52446.9
North,Hardware,49415.44
North,Software,77013.9
North,Software,67081.06
North,Software,67080.52
North,Services,29579.2
North,Services,37845.98
North,Services,35134.41
South,Hardware,37928.46
South,Hardware,30565.46
South,Hardware,40732.73
South,Software,63564.56
South,Software,52811.96
South,Software,52282.84
South,Services,23847.31
South,Services,24802.53
South,Services,26545.7
East,Hardware,51428.13
East,Hardware,49211.86
East,Hardware,54261.68
East,Software,75807.09
East,Software,79699.69
East,Software,81592.23
East,Services,38239.31
East,Services,42065.17
East,Services,35258.71
West,Hardware,40070.39
West,Hardware,41006.2
West,Hardware,34471.01
West,Software,66684.22
West,Software,58214.76
West,Software,56170.7
West,Services,33415.9
West,Services,33563.86
West,Services,32174.69
Central,Hardware,39538.13
Central,Hardware,36930.67
Central,Hardware,44321.34
Central,Software,66779.11
Central,Software,60289.58
Central,Software,67901.61
Central,Services,26669.81
Central,Services,34806.68
Central,Services,28756.65
