carrier,delivery_days
FastShip,1.08
FastShip,1.86
FastShip,1.36
FastShip,1.99
FastShip,2.49
FastShip,2.69
FastShip,2.77
FastShip,2.89
FastShip,1.97
FastShip,1.41
FastShip,2.03
FastShip,2.48
FastShip,1.36
FastShip,3.1
FastShip,2.64
FastShip,1.98
FastShip,1.67
FastShip,1.7
FastShip,2.14
FastShip,1.96
FastShip,2.67
FastShip,1.89
FastShip,2.4
FastShip,6.72
FastShip,2.26
FastShip,1.96
FastShip,2.52
FastShip,2.53
FastShip,2.38
FastShip,2.46
FastShip,1.53
FastShip,2.29
FastShip,2.85
FastShip,2.39
FastShip,1.48
FastShip,2.07
FastShip,2.32
FastShip,1.65
FastShip,1.29
FastShip,1.91
FastShip,1.66
FastShip,2.09
FastShip,1.15
FastShip,2.44
FastShip,1.72
FastShip,2.7
FastShip,1.93
FastShip,2.08
FastShip,2.0
FastShip,1.69
FastShip,3.58
FastShip,6.04
FastShip,2.71
FastShip,1.44
FastShip,2.32
FastShip,7.38
FastShip,2.09
FastShip,1.76
FastShip,1.94
FastShip,1.86
MetroExpress,3.05
MetroExpress,3.87
MetroExpress,3.98
MetroExpress,2.77
MetroExpress,3.37
MetroExpress,5.76
MetroExpress,5.3
MetroExpress,3.88
MetroExpress,3.44
MetroExpress,3.53
MetroExpress,4.07
MetroExpress,2.27
MetroExpress,3.12
MetroExpress,1.56
MetroExpress,3.84
MetroExpress,9.13
MetroExpress,2.87
MetroExpress,5.13
MetroExpress,2.05
MetroExpress,1.79
MetroExpress,3.65
MetroExpress,4.55
MetroExpress,5.25
MetroExpress,2.9
MetroExpress,4.59
MetroExpress,3.36
MetroExpress,3.21
MetroExpress,4.37
MetroExpress,4.12
MetroExpress,1.67
MetroExpress,9.96
MetroExpress,4.92
MetroExpress,2.71
MetroExpress,3.84
MetroExpress,3.94
MetroExpress,3.69
MetroExpress,2.79
MetroExpress,2.66
MetroExpress,3.37
MetroExpress,12.54
MetroExpress,4.0
MetroExpress,2.99
MetroExpress,4.25
MetroExpress,0.5
MetroExpress,4.66
MetroExpress,1.49
MetroExpress,3.0
MetroExpress,2.17
MetroExpress,1.98
MetroExpress,4.68
MetroExpress,2.89
MetroExpress,3.78
MetroExpress,3.35
MetroExpress,3.92
MetroExpress,3.48
MetroExpress,1.99
MetroExpress,4.5
MetroExpress,2.86
MetroExpress,1.69
MetroExpress,2.93
ValueFreight,5.59
ValueFreight,5.75
ValueFreight,12.78
ValueFreight,4.77
ValueFreight,6.55
ValueFreight,6.81
ValueFreight,6.2
ValueFreight,5.28
ValueFreight,6.16
ValueFreight,7.3
ValueFreight,7.48
ValueFreight,9.43
ValueFreight,3.82
ValueFreight,4.92
ValueFreight,9.93
ValueFreight,7.66
ValueFreight,5.13
ValueFreight,6.21
ValueFreight,4.59
ValueFreight,5.15
ValueFreight,8.25
ValueFreight,7.19
ValueFreight,5.58
ValueFreight,7.34
ValueFreight,7.38
ValueFreight,5.02
ValueFreight,2.86
ValueFreight,4.0
ValueFreight,3.12
ValueFreight,8.13
ValueFreight,8.48
ValueFreight,8.97
ValueFreight,1.76
ValueFreight,7.94
ValueFreight,10.22
ValueFreight,8.02
ValueFreight,1.5
ValueFreight,9.34
ValueFreight,5.88
ValueFreight,5.34
ValueFreight,6.7
ValueFreight,3.7
ValueFreight,5.81
ValueFreight,15.48
ValueFreight,7.04
ValueFreight,5.92
ValueFreight,5.98
ValueFreight,3.44
ValueFreight,5.5
ValueFreight,2.53
ValueFreight,7.84
ValueFreight,1.43
ValueFreight,7.51
ValueFreight,7.76
ValueFreight,8.44
ValueFreight,5.97
ValueFreight,7.63
ValueFreight,5.48
ValueFreight,3.43
ValueFreight,8.86
PrimeLogix,2.79
PrimeLogix,3.2
PrimeLogix,3.2
PrimeLogix,2.62
PrimeLogix,3.22
PrimeLogix,2.68
PrimeLogix,3.63
PrimeLogix,2.57
PrimeLogix,3.0
PrimeLogix,2.59
PrimeLogix,3.79
PrimeLogix,2.4
PrimeLogix,3.11
PrimeLogix,2.61
PrimeLogix,2.76
PrimeLogix,3.08
PrimeLogix,3.39
PrimeLogix,3.55
PrimeLogix,2.29
PrimeLogix,3.01
PrimeLogix,3.48
PrimeLogix,2.23
PrimeLogix,3.03
PrimeLogix,10.31
PrimeLogix,3.07
PrimeLogix,2.59
PrimeLogix,2.33
PrimeLogix,2.13
PrimeLogix,3.29
PrimeLogix,3.34
PrimeLogix,3.02
PrimeLogix,2.69
PrimeLogix,2.25
PrimeLogix,3.13
PrimeLogix,10.18
PrimeLogix,2.62
PrimeLogix,2.67
PrimeLogix,2.82
PrimeLogix,2.6
PrimeLogix,2.91
PrimeLogix,2.65
PrimeLogix,3.18
PrimeLogix,3.31
PrimeLogix,2.94
PrimeLogix,3.09
PrimeLogix,3.75
PrimeLogix,2.43
PrimeLogix,2.41
PrimeLogix,3.18
PrimeLogix,3.68
PrimeLogix,2.8
PrimeLogix,3.59
PrimeLogix,2.94
PrimeLogix,2.63
PrimeLogix,2.5
PrimeLogix,3.15
PrimeLogix,2.53
PrimeLogix,2.93
PrimeLogix,3.53
PrimeLogix,7.61
