weekday,hour,orders
Mon,00:00,9
Mon,02:00,12
Mon,04:00,12
Mon,06:00,13
Mon,08:00,19
Mon,10:00,41
Mon,12:00,47
Mon,14:00,55
Mon,16:00,51
Mon,18:00,61
Mon,20:00,65
Mon,22:00,41
Tue,00:00,6
Tue,02:00,8
Tue,04:00,13
Tue,06:00,18
Tue,08:00,37
Tue,10:00,34
Tue,12:00,47
Tue,14:00,60
Tue,16:00,62
Tue,18:00,62
Tue,20:00,52
Tue,22:00,36
Wed,00:00,9
Wed,02:00,12
Wed,04:00,14
Wed,06:00,15
Wed,08:00,29
Wed,10:00,43
Wed,12:00,35
Wed,14:00,46
Wed,16:00,63
Wed,18:00,48
Wed,20:00,67
Wed,22:00,30
Thu,00:00,9
Thu,02:00,6
Thu,04:00,15
Thu,06:00,17
Thu,08:00,22
Thu,10:00,46
Thu,12:00,49
Thu,14:00,57
Thu,16:00,68
Thu,18:00,72
Thu,20:00,58
Thu,22:00,36
Fri,00:00,9
Fri,02:00,15
Fri,04:00,8
Fri,06:00,15
Fri,08:00,35
Fri,10:00,41
Fri,12:00,49
Fri,14:00,56
Fri,16:00,73
Fri,18:00,75
Fri,20:00,61
Fri,22:00,37
Sat,00:00,4
Sat,02:00,7
Sat,04:00,6
Sat,06:00,7
Sat,08:00,16
Sat,10:00,26
Sat,12:00,28
Sat,14:00,31
Sat,16:00,28
Sat,18:00,42
Sat,20:00,26
Sat,22:00,27
Sun,00:00,6
Sun,02:00,6
Sun,04:00,4
Sun,06:00,13
Sun,08:00,20
Sun,10:00,27
Sun,12:00,22
Sun,14:00,40
Sun,16:00,40
Sun,18:00,35
Sun,20:00,35
Sun,22:00,22
