ad_spend,revenue,channel
9668.43,35465.8,Display
9686.18,46471.64,Display
8268.73,32955.83,Search
1809.2,12359.13,Display
12611.89,49787.99,Display
5151.31,17229.17,Display
3204.52,22508.68,Social
1091.24,17190.8,Search
9067.95,38715.27,Social
10324.68,48470.07,Display
740.52,4398.93,Search
7925.35,41657.84,Social
3784.19,16821.07,Search
9855.01,33776.38,Search
3028.31,16622.34,Social
10518.6,50083.54,Social
6107.66,27457.03,Search
14082.58,48867.61,Search
2494.05,10153.73,Display
5445.46,24952.45,Search
2145.37,5887.84,Display
13908.06,46654.92,Search
13221.42,57252.35,Search
4240.15,27523.18,Display
10069.77,39645.41,Search
12349.72,45423.62,Social
8550.41,35624.61,Social
8179.93,44741.77,Display
4006.86,22644.34,Search
1849.99,18013.79,Search
13509.63,50319.75,Social
13556.06,51653.43,Social
9679.97,41888.14,Social
5415.93,25898.41,Social
5563.54,17265.13,Search
11026.36,49046.78,Social
13508.1,48457.81,Search
13362.75,60261.74,Display
11808.2,48877.04,Social
9809.46,39709.64,Search
1720.03,15481.07,Display
2843.62,16611.33,Social
13529.04,49103.97,Search
9293.22,38672.5,Display
633.36,14009.2,Display
1971.34,12217.9,Social
10120.78,37586.41,Display
573.39,8235.16,Search
2831.72,21345.54,Social
8456.64,41597.72,Search
10532.48,43333.0,Display
9953.44,42466.92,Search
3751.9,17172.44,Social
10826.6,46590.51,Search
3940.11,23091.17,Social
5218.3,21502.97,Social
11324.13,36192.68,Social
9919.68,34250.4,Social
12813.74,45992.55,Social
10035.39,45341.96,Social
8740.47,42957.39,Search
1858.28,11968.68,Social
5831.88,24826.39,Social
4345.43,23082.69,Display
4037.85,20975.78,Search
14608.65,58936.89,Search
6199.92,25485.39,Social
13434.68,55262.1,Social
9651.51,37808.32,Social
12024.76,50322.13,Social
7788.24,31702.68,Social
8865.11,33609.41,Social
7641.51,41058.25,Social
3331.02,23452.8,Social
10975.56,35057.58,Search
4571.2,20617.36,Social
852.58,16150.41,Social
9859.35,34164.94,Search
3068.1,21285.99,Search
14136.65,56239.03,Social
14331.96,50716.13,Display
13765.53,52010.03,Search
5867.3,17370.28,Social
724.12,18284.13,Display
13960.62,51283.07,Display
6708.67,33084.9,Social
14516.49,57215.07,Social
14472.49,60422.43,Display
12868.64,47229.77,Search
4769.51,24179.63,Social
6083.92,29984.53,Social
12841.48,53019.18,Social
5095.37,29499.78,Search
2957.64,15316.25,Search
8573.62,32446.56,Social
14074.24,59158.08,Search
10592.43,32728.94,Search
8765.89,43115.98,Social
1909.06,12748.53,Social
9417.6,38115.8,Search
14855.78,52467.96,Display
2531.22,15883.02,Search
8015.78,39370.62,Search
13221.91,53778.99,Social
11241.14,46188.75,Search
10606.73,42341.46,Search
10686.02,35690.02,Social
5712.62,22481.77,Social
4757.08,21678.26,Social
12235.74,49213.9,Social
12246.64,47502.7,Social
13072.55,54257.92,Social
13741.99,54105.68,Social
7914.46,33570.86,Social
7771.99,43111.28,Display
12075.28,48468.92,Search
9924.48,37814.59,Search
10678.52,50541.11,Display
12038.99,51926.63,Search
13405.08,59068.64,Social
5400.93,24783.78,Search
5945.95,31420.44,Search
1862.74,7422.94,Search
8885.06,39960.23,Search
1021.16,10557.96,Social
7251.17,25105.99,Social
8368.35,39425.41,Social
4654.85,14749.92,Search
9067.08,28407.48,Search
942.25,12646.36,Social
1041.55,13904.02,Display
12427.71,52136.02,Search
5722.76,29651.68,Social
2342.38,22140.57,Social
8072.53,36983.18,Social
11664.91,44732.35,Social
3629.4,19282.85,Social
9531.91,37232.12,Social
1737.54,14889.77,Social
1249.38,7059.98,Social
8204.64,35789.0,Display
8339.21,34296.61,Social
9742.73,40417.11,Search
11028.32,44544.89,Search
14649.86,43844.35,Display
7986.36,29500.51,Social
5182.87,24096.35,Social
12030.2,46246.96,Display
4427.07,23333.87,Display
6865.09,31328.84,Display
